;;;住民基本台帳　月報集計表;;;;;;;;;;;;;;;;;;（平成26年8月1日現在）;;;
;;;;人　　　口;;;;;;世帯数;;;;;;人　　　口;;;;;;世帯数;;
;;;;男;;女;;計;;日本人;外国人;複数国籍;;;;男;;女;;計;;日本人;外国人;複数国籍
;;;市　町　村　名;日本人;外国人;日本人;外国人;日本人;外国人;;;;;;市　町　村　名;日本人;外国人;日本人;外国人;日本人;外国人;;;
;"市
 
10";1;青森市;138 056 ;347 ;157 680 ;479 ;295 736;826;135 918;478;203;"北
津
軽
郡
 
3";21;板柳町;6 748 ;7 ;7 962 ;18 ;14 710 ;25 ;5 488 ;11 ;12 
;;2;弘前市;82 553 ;232 ;96 012 ;349 ;178 565;581;78 600;336;135;;22;鶴田町;6 534 ;1 ;7 324 ;11 ;13 858 ;12 ;5 357 ;10 ;2 
;;3;八戸市;113 680 ;342 ;123 421 ;444 ;237 101;786;105 534;403;266;;23;中泊町;5 799 ;7 ;6 462 ;21 ;12 261 ;28 ;5 165 ;15 ;5 
;;4;黒石市;16 623 ;11 ;18 886 ;58 ;35 509;69;13 475;44;19;;;小　　　計;19 081 ;15 ;21 748 ;50 ;40 829 ;65 ;16 010 ;36 ;19 
;;5;五所川原市;26 901 ;23 ;31 384 ;69 ;58 285;92;25 167;45;35;"上
北
郡
 
7";24;野辺地町;6 677 ;16 ;7 524 ;58 ;14 201 ;74 ;6 510 ;64 ;5 
;;6;十和田市;30 661 ;64 ;33 314 ;152 ;63 975;216;27 027;84;81;;25;七戸町;8 098 ;4 ;8 734 ;28 ;16 832 ;32 ;6 764 ;18 ;13 
;;7;三沢市;20 225 ;108 ;20 886 ;199 ;41 111;307;18 508;149;116;;26;六戸町;5 256 ;34 ;5 593 ;30 ;10 849 ;64 ;4 107 ;27 ;21 
;;8;むつ市;29 893 ;31 ;31 718 ;119 ;61 611;150;29 215;87;52;;27;横浜町;2 432 ;1 ;2 446 ;7 ;4 878 ;8 ;2 104 ;2 ;6 
;;9;つがる市;16 599 ;13 ;18 536 ;24 ;35 135;37;13 511;18;15;;28;東北町;9 092 ;8 ;9 760 ;66 ;18 852 ;74 ;7 158 ;41 ;30 
;;10;平川市;15 458 ;4 ;17 472 ;49 ;32 930;53;11 592;41;12;;29;六ヶ所村;5 714 ;28 ;5 015 ;49 ;10 729 ;77 ;4 578 ;41 ;14 
;;;市　　　計;490 649 ;1 175 ;549 309 ;1 942 ;1 039 958;3 117;458 547;1 685;934;;30;おいらせ町;12 135 ;36 ;12 929 ;76 ;25 064 ;112 ;9 742 ;25 ;59 
;"東
津
軽
郡
 
4";11;平内町;5 795 ;3 ;6 289 ;14 ;12 084;17;5 123;12;4;;;小　　　計;49 404 ;127 ;52 001 ;314 ;101 405 ;441 ;40 963 ;218 ;148 
;;12;今別町;1 427 ;2 ;1 604 ;4 ;3 031;6;1 520;2;4;"下
北
郡
 
4";31;大間町;3 027 ;3 ;2 841 ;9 ;5 868 ;12 ;2 546 ;1 ;9 
;;13;蓬田村;1 483 ;0 ;1 590 ;1 ;3 073;1;1 164;1;0;;32;東通村;3 567 ;6 ;3 451 ;5 ;7 018 ;11 ;2 789 ;6 ;5 
;;14;外ヶ浜町;3 286 ;0 ;3 588 ;20 ;6 874;20;3 056;18;2;;33;風間浦村;1 070 ;0 ;1 099 ;1 ;2 169 ;1 ;967 ;1 ;0 
;;;小　　　計;11 991 ;5 ;13 071 ;39 ;25 062;44;10 863;33;10;;34;佐井村;1 162 ;1 ;1 147 ;1 ;2 309 ;2 ;1 017 ;0 ;2 
;"西
津
軽
郡
 
2";15;鯵ヶ沢町;5 167 ;4 ;5 927 ;18 ;11 094;22;4 653;12;7;;;小　　　計;8 826 ;10 ;8 538 ;16 ;17 364 ;26 ;7 319 ;8 ;16 
