市町村別人口  （平成26年8月1日現在）;;;;;;;;;;;;;
;;;;;単位：人・世帯;;;;;;;;
市町村名;人口;対前月増減数;自然増減;社会増減;外国人増減;帰化;;世帯数;;;;;
盛岡市;300 064;30;(16);46;(2);2;;131 998;;;;;
宮古市;55 899;(18);(18);0;0;0;;24 261;;;;;
大船渡市;38 395;41;(19);34;26;0;;14 893;;;;;
花巻市;98 511;(86);(61);(17);(8);0;;36 411;;;;;
北上市;93 344;24;1;25;(2);0;;35 833;;;;;
久慈市;35 504;43;4;33;6;0;;15 577;;;;;
遠野市;28 113;(4);(20);14;2;0;;10 892;;;;;
一関市;122 283;(53);(61);1;7;0;;46 218;;;;;
陸前高田市;19 386;(3);(15);(1);13;0;;7 614;;;;;
釜石市;35 852;8;(13);20;1;0;;17 086;;;;;
二戸市;28 117;(13);(17);(2);6;0;;11 830;;;;;
八幡平市;26 952;(23);(23);(1);1;0;;10 509;;;;;
奥州市;120 443;(44);(48);7;(5);2;;44 241;;;;;
滝沢市;55 201;(63);9;(25);(47);0;;21 977;;;;;
雫石町;17 208;12;3;9;0;0;;6 223;;;;;
葛巻町;6 636;(15);(8);(6);(1);0;;2 850;;;;;
岩手町;13 929;(6);(10);6;(2);0;;5 468;;;;;
紫波町;32 976;37;5;31;1;0;;11 525;;;;;
矢巾町;26 925;5;7;0;(2);0;;9 613;;;;;
西和賀町;5 976;(12);(7);(4);(1);0;;2 398;;;;;
金ケ崎町;16 045;(2);2;(6);2;0;;5 811;;;;;
平泉町;7 907;(6);(8);0;2;0;;2 647;;;;;
住田町;5 884;(19);(6);(11);(2);0;;2 259;;;;;
大槌町;11 705;(28);(5);(23);0;0;;5 402;;;;;
山田町;15 928;3;(4);7;0;0;;6 724;;;;;
岩泉町;9 833;(18);(15);(3);0;0;;4 644;;;;;
田野畑村;3 532;3;0;3;0;0;;1 433;;;;;
普代村;2 920;(3);1;(4);0;0;;1 139;;;;;
軽米町;9 507;(15);(15);(3);3;0;;3 786;;;;;
野田村;4 251;(5);0;(5);0;0;;1 654;;;;;
九戸村;6 096;(4);0;(4);0;0;;2 193;;;;;
洋野町;16 618;(29);(13);(12);(4);0;;6 856;;;;;
一戸町;13 229;(12);(9);(2);(1);0;;5 831;;;;;
計;1 285 169;(275);(379);107;(7);4;;517 796;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
