別紙2,,,,,,,,,,,,,,,,,,,
,市町村別　人口増減の推移,,,,,,,,,,,,,,,,,,
,【平成２４年（２０１２）９月１日現在】,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,　（単位：人）
区分,,総　人　口,,,人口増減,自然増減,,,社会増減,,,,,,,,,,
,,,,,,,,,,転　　　　入,,,,,転　　　　出,,,,
,,総　数,男,女,"合計
A(B+C)","計
B(a-b)","出生
a","死亡
b","計
C(c-d)","
c",県内  　　　     ,県外　　　　　,国外　　　　　　,その他,"
d",県内,県外,国外,その他
宮城県合計,宮城県合計,2325193,1130591,1194602,881,-98,1678,1776,979,8563,4445,3701,278,139,7584,4373,2844,281,86
　前　月　差,,881,589,292,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
　前年同月差,,1881,2333,-452,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
市計,,1908959,927168,981791,1055,6,1396,1390,1049,7413,3699,3343,251,120,6364,3497,2552,240,75
　前　月　差,,1055,674,381,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
　前年同月差,,4983,3780,1203,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
町村計,,416234,203423,212811,-174,-104,282,386,-70,1150,746,358,27,19,1220,876,292,41,11
　前　月　差,,-174,-85,-89,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
　前年同月差,,-3102,-1447,-1655,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,   , , ,,,,,,,,,,,,,,,
区分,,総　人　口,,,人口増減,自然増減,,,社会増減,,,,,,,,,,
,,,,,,,,,,転　　　　入,,,,,転　　　　出,,,,
,,総　数,男,女,"合計
A(B+C)","計
B(a-b)","出生
a","死亡
b","計
C(c-d)","
c",県内  　　　     ,県外　　　　　,国外　　　　　　,その他,"
d",県内,県外,国外,その他
仙台市 ,仙台市 ,1060263,515504,544759,1134,188,828,640,946,5266,2557,2464,150,95,4320,2285,1824,164,47
(青葉区),(青葉区),299204,144501,154703,336,36,216,180,300,1562,716,751,57,38,1262,576,580,84,22
(宮城野区),(宮城野区),190408,93636,96772,338,54,172,118,284,1141,562,550,9,20,857,524,306,17,10
(若林区),(若林区),132093,65231,66862,106,16,97,81,90,681,316,328,23,14,591,334,247,8,2
(太白区),(太白区),224007,108725,115282,174,49,192,143,125,921,463,413,30,15,796,437,326,27,6
(泉　区),(泉　区),214551,103411,111140,180,33,151,118,147,961,500,422,31,8,814,414,365,28,7
石 巻 市,石 巻 市,149081,71927,77154,-12,-38,82,120,26,325,151,137,31,6,299,197,92,9,1
塩 竈 市,塩 竈 市,55213,26220,28993,-40,-22,28,50,-18,136,98,32,3,3,154,117,27,9,1
気仙沼市,気仙沼市,67919,32631,35288,-18,-29,36,65,11,109,52,50,6,1,98,53,40,5,0
白 石 市,白 石 市,36530,17677,18853,-20,-7,23,30,-13,76,42,26,7,1,89,54,28,5,2
名 取 市,名 取 市,72723,35490,37233,65,24,66,42,41,281,178,86,14,3,240,123,104,13,0
角 田 市,角 田 市,30911,15139,15772,-16,-16,20,36,0,66,41,18,6,1,66,43,20,3,0
多賀城市,多賀城市,61841,30975,30866,69,9,49,40,60,327,156,154,12,5,267,166,95,6,0
岩 沼 市,岩 沼 市,43689,21432,22257,-1,14,40,26,-15,120,63,54,2,1,135,81,52,1,1
登米市,登米市,83040,40067,42973,-41,-53,54,107,12,125,71,47,6,1,113,58,47,1,7
栗原市,栗原市,72943,35076,37867,-78,-56,36,92,-22,91,40,48,2,1,113,64,43,4,2
東松島市,東松島市,40000,19454,20546,5,3,30,27,2,182,96,83,2,1,180,96,80,1,3
大崎市,大崎市,134806,65576,69230,8,-11,104,115,19,309,154,144,10,1,290,160,100,19,11
市  計,,1908959,927168,981791,1055,6,1396,1390,1049,7413,3699,3343,251,120,6364,3497,2552,240,75
,,,,,,,,,,,,,,,,,,,
刈 田 郡,,14256,6933,7323,4,-1,12,13,5,30,23,6,1,0,25,12,12,1,0
,蔵 王 町,12668,6146,6522,11,4,12,8,7,28,23,5,0,0,21,10,11,0,0
,七ケ宿町,1588,787,801,-7,-5,0,5,-2,2,0,1,1,0,4,2,1,1,0
柴 田 郡,,84429,41705,42724,-21,-22,62,84,1,262,150,107,2,3,261,182,68,10,1
,大河原町,23690,11596,12094,-5,-2,20,22,-3,65,41,22,0,2,68,54,11,3,0
,村 田 町,11725,5805,5920,-1,1,11,10,-2,30,22,6,1,1,32,26,6,0,0
,柴 田 町,39359,19623,19736,-4,-13,27,40,9,140,65,74,1,0,131,83,43,4,1
,川 崎 町,9655,4681,4974,-11,-8,4,12,-3,27,22,5,0,0,30,19,8,3,0
伊 具 郡,,14861,7228,7633,-39,-9,6,15,-30,24,9,6,6,3,54,33,19,0,2
,丸 森 町,14861,7228,7633,-39,-9,6,15,-30,24,9,6,6,3,54,33,19,0,2
亘 理 郡,,46985,22825,24160,-51,-21,28,49,-30,126,87,34,5,0,156,125,24,7,0
,亘 理 町,33161,16083,17078,-28,-18,20,38,-10,86,56,26,4,0,96,76,13,7,0
,山 元 町,13824,6742,7082,-23,-3,8,11,-20,40,31,8,1,0,60,49,11,0,0
宮 城 郡,,69196,33560,35636,-26,8,50,42,-34,187,136,45,3,3,221,149,62,6,4
,松 島 町,14866,7110,7756,9,-6,5,11,15,55,37,15,1,2,40,23,15,0,2
,七ヶ浜町,19468,9565,9903,-55,-12,6,18,-43,28,18,10,0,0,71,59,10,0,2
,利 府 町,34862,16885,17977,20,26,39,13,-6,104,81,20,2,1,110,67,37,6,0
黒 川 郡,,89428,44058,45370,77,9,74,65,68,344,234,110,0,0,276,177,86,11,2
,大 和 町,26296,13282,13014,-6,-4,19,23,-2,111,70,41,0,0,113,85,28,0,0
,大 郷 町,8713,4241,4472,-4,-3,9,12,-1,16,11,5,0,0,17,13,4,0,0
,富 谷 町,48994,23826,25168,98,20,40,20,78,201,140,61,0,0,123,65,46,11,1
,大 衡 村,5425,2709,2716,-11,-4,6,10,-7,16,13,3,0,0,23,14,8,0,1
加 美 郡,,32309,15662,16647,-27,-21,22,43,-6,44,30,10,4,0,50,41,6,3,0
,色 麻 町,7309,3521,3788,-2,1,5,4,-3,9,8,1,0,0,12,11,1,0,0
,加 美 町,25000,12141,12859,-25,-22,17,39,-3,35,22,9,4,0,38,30,5,3,0
遠 田 郡,,41997,20242,21755,-20,-24,22,46,4,98,66,21,5,6,94,81,9,3,1
,涌 谷 町,17221,8351,8870,4,-2,10,12,6,37,27,8,1,1,31,24,4,3,0
,美里町,24776,11891,12885,-24,-22,12,34,-2,61,39,13,4,5,63,57,5,0,1
牡 鹿 郡,,7872,3955,3917,-43,-8,2,10,-35,9,2,6,1,0,44,40,4,0,0
,女川町,7872,3955,3917,-43,-8,2,10,-35,9,2,6,1,0,44,40,4,0,0
本 吉 郡,,14901,7255,7646,-28,-15,4,19,-13,26,9,13,0,4,39,36,2,0,1
,南三陸町,14901,7255,7646,-28,-15,4,19,-13,26,9,13,0,4,39,36,2,0,1
町 村 計,,416234,203423,212811,-174,-104,282,386,-70,1150,746,358,27,19,1220,876,292,41,11
,,,,,,,,,,,,,,,,,,,
仙南圏,,180987,88682,92305,-92,-55,123,178,-37,458,265,163,22,8,495,324,147,19,5
仙台都市圏,,1499338,730064,769274,1227,209,1163,954,1018,6787,3509,2979,189,110,5769,3223,2274,217,55
大崎圏,,209112,101480,107632,-39,-56,148,204,17,451,250,175,19,7,434,282,115,25,12
栗原圏,,72943,35076,37867,-78,-56,36,92,-22,91,40,48,2,1,113,64,43,4,2
登米圏,,83040,40067,42973,-41,-53,54,107,12,125,71,47,6,1,113,58,47,1,7
石巻圏,,196953,95336,101617,-50,-43,114,157,-7,516,249,226,34,7,523,333,176,10,4
気仙沼・本吉圏,,82820,39886,42934,-46,-44,40,84,-2,135,61,63,6,5,137,89,42,5,1
宮城県計,,2325193,1130591,1194602,881,-98,1678,1776,979,8563,4445,3701,278,139,7584,4373,2844,281,86
注：,転入及び転出の「その他」は，職権記載・消除，国籍取得・喪失，転出取消など。,,,,,,,,,,,,,,,,,,
