　　　　　　　４．市 町 村 別 の 人 口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(単位：人）
,人,,口,対前月増減数,,,出,,生,死,,亡,自然増減数,,,　　転　   　 　　　　　入,,,,,　 　転　　　      　　出,,,,,社会増減数,,,
 区 分,,,,,,,,,,,,,,,,,計,,県内,県外,,計,,県内,県外,,,, 区 分
,総    数,男,女,計,男,女,計,男,女,計,男,女,計,男,女,計,男,女,,,計,男,女,,,計,男,女,
県　　　計,1063143,498584,564559,-651,-347,-304,527,264,263,1101,568,533,-574,-304,-270,949,508,441,0,949,1026,551,475,0,1026,-77,-43,-34,県　　　計
市郡計,1063168,498575,564593,-693,-368,-325,527,264,263,1101,568,533,-574,-304,-270,1521,780,741,572,949,1640,844,796,614,1026,-119,-64,-55,市郡計
市部計,960040,450467,509573,-596,-312,-284,488,248,240,985,515,470,-497,-267,-230,1390,719,671,503,887,1489,764,725,520,969,-99,-45,-54,市部計
郡部計,103128,48108,55020,-97,-56,-41,39,16,23,116,53,63,-77,-37,-40,131,61,70,69,62,151,80,71,94,57,-20,-19,-1,郡部計
秋田市,321783,151322,170461,-14,-34,20,174,89,85,269,141,128,-95,-52,-43,640,335,305,195,445,559,317,242,139,420,81,18,63,秋田市
能代市,57621,26571,31050,-39,-22,-17,22,14,8,71,44,27,-49,-30,-19,77,41,36,36,41,67,33,34,27,40,10,8,2,能代市
横手市,95938,45129,50809,-98,-38,-60,53,26,27,97,50,47,-44,-24,-20,100,55,45,40,60,154,69,85,63,91,-54,-14,-40,横手市
大館市,77182,35990,41192,-39,-25,-14,32,17,15,71,41,30,-39,-24,-15,116,49,67,26,90,116,50,66,28,88,0,-1,1,大館市
男鹿市,31110,14633,16477,-27,-11,-16,13,4,9,34,14,20,-21,-10,-11,37,18,19,17,20,43,19,24,26,17,-6,-1,-5,男鹿市
湯沢市,49232,23213,26019,-45,-28,-17,16,8,8,66,38,28,-50,-30,-20,57,29,28,31,26,52,27,25,21,31,5,2,3,湯沢市
鹿角市,33381,15448,17933,-15,-13,-2,26,11,15,38,18,20,-12,-7,-5,48,23,25,9,39,51,29,22,14,37,-3,-6,3,鹿角市
由利本荘市,83189,39823,43366,-56,-20,-36,52,27,25,87,43,44,-35,-16,-19,80,47,33,32,48,101,51,50,32,69,-21,-4,-17,由利本荘市
 潟上市,33858,15951,17907,-40,-12,-28,14,10,4,40,20,20,-26,-10,-16,51,28,23,37,14,65,30,35,46,19,-14,-2,-12, 潟上市
 大仙市,86175,40059,46116,-139,-77,-62,35,16,19,105,59,46,-70,-43,-27,86,45,41,47,39,155,79,76,64,91,-69,-34,-35, 大仙市
北秋田市,35010,16262,18748,-50,-9,-41,14,9,5,54,17,37,-40,-8,-32,37,21,16,12,25,47,22,25,25,22,-10,-1,-9,北秋田市
にかほ市,26859,12763,14096,-13,-6,-7,18,10,8,23,13,10,-5,-3,-2,33,15,18,11,22,41,18,23,18,23,-8,-3,-5,にかほ市
 仙北市,28702,13303,15399,-21,-17,-4,19,7,12,30,17,13,-11,-10,-1,28,13,15,10,18,38,20,18,17,21,-10,-7,-3, 仙北市
鹿角郡,5866,2743,3123,-13,-8,-5,1,0,1,8,4,4,-7,-4,-3,2,1,1,0,2,8,5,3,4,4,-6,-4,-2,鹿角郡
小坂町,5866,2743,3123,-13,-8,-5,1,0,1,8,4,4,-7,-4,-3,2,1,1,0,2,8,5,3,4,4,-6,-4,-2,小坂町
北秋田郡,2558,1206,1352,-2,0,-2,1,0,1,6,3,3,-5,-3,-2,4,3,1,3,1,1,0,1,1,0,3,3,0,北秋田郡
上小阿仁村,2558,1206,1352,-2,0,-2,1,0,1,6,3,3,-5,-3,-2,4,3,1,3,1,1,0,1,1,0,3,3,0,上小阿仁村
山本郡,29802,13748,16054,-31,-17,-14,7,4,3,36,16,20,-29,-12,-17,39,17,22,21,18,41,22,19,26,15,-2,-5,3,山本郡
藤里町,3729,1762,1967,4,-2,6,1,0,1,2,2,0,-1,-2,1,7,2,5,4,3,2,2,0,1,1,5,0,5,藤里町
三種町,18192,8359,9833,-21,-9,-12,6,4,2,22,7,15,-16,-3,-13,17,7,10,10,7,22,13,9,14,8,-5,-6,1,三種町
八峰町,7881,3627,4254,-14,-6,-8,0,0,0,12,7,5,-12,-7,-5,15,8,7,7,8,17,7,10,11,6,-2,1,-3,八峰町
南秋田郡,24945,11602,13343,-23,-9,-14,8,5,3,30,12,18,-22,-7,-15,44,21,23,26,18,45,23,22,31,14,-1,-2,1,南秋田郡
五城目町,10145,4673,5472,-5,-1,-4,2,1,1,15,6,9,-13,-5,-8,23,10,13,11,12,15,6,9,10,5,8,4,4,五城目町
八郎潟町,6359,2904,3455,-6,-3,-3,1,0,1,3,1,2,-2,-1,-1,9,5,4,7,2,13,7,6,10,3,-4,-2,-2,八郎潟町
井川町,5289,2469,2820,-10,-6,-4,0,0,0,10,5,5,-10,-5,-5,5,3,2,4,1,5,4,1,3,2,0,-1,1,井川町
大潟村,3152,1556,1596,-2,1,-3,5,4,1,2,0,2,3,4,-1,7,3,4,4,3,12,6,6,8,4,-5,-3,-2,大潟村
仙北郡,21014,9808,11206,-13,-9,-4,15,4,11,15,9,6,0,-5,5,11,7,4,6,5,24,11,13,16,8,-13,-4,-9,仙北郡
美郷町,21014,9808,11206,-13,-9,-4,15,4,11,15,9,6,0,-5,5,11,7,4,6,5,24,11,13,16,8,-13,-4,-9,美郷町
雄勝郡,18943,9001,9942,-15,-13,-2,7,3,4,21,9,12,-14,-6,-8,31,12,19,13,18,32,19,13,16,16,-1,-7,6,雄勝郡
羽後町,16160,7656,8504,-18,-13,-5,6,3,3,20,9,11,-14,-6,-8,26,11,15,12,14,30,18,12,15,15,-4,-7,3,羽後町
東成瀬村,2783,1345,1438,3,0,3,1,0,1,1,0,1,0,0,0,5,1,4,1,4,2,1,1,1,1,3,0,3,東成瀬村
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
※　表中の人口は、平成２２年国勢調査の確定値をもとに算出したものである。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
