埼玉県推計人口　平成26年8月1日現在;;;;;;Population of Saitama Prefecture as at Augusut 1, 2014;;;;;
;;;;;;;;;;;
;;;人口;Population;;前月;;;;;
市町村;;世帯数;;;;からの;;;;;
;;;総数;男;女;増加数;;;;;
Cities, Towns and Villages;;Households;Total;Male;Female;Change from Previous Month;;;;;
総  計    ;Total;2 936 924 ;7 235 651 ;3 619 712 ;3 615 939 ;1 557 ;;;;;
市  計    ;City total;2 748 125 ;6 726 587 ;3 365 408 ;3 361 179 ;1 684 ;;;;;
郡  計    ;Towns and villages;188 799 ;509 064 ;254 304 ;254 760 ;-127 ;;;;;
さいたま市;Saitama-shi;525 558 ;1 250 928 ;624 041 ;626 887 ;521 ;;;;;
西区      ;Nishi-ku;33 359 ;86 120 ;42 559 ;43 561 ;38 ;;;;;
北区      ;Kita-ku ;61 008 ;142 743 ;71 323 ;71 420 ;-31 ;;;;;
大宮区    ;Omiya-ku;51 271 ;112 590 ;55 758 ;56 832 ;180 ;;;;;
見沼区    ;Minuma-ku;64 545 ;159 912 ;79 213 ;80 699 ;-10 ;;;;;
中央区    ;Cyuou-ku;42 991 ;98 764 ;49 161 ;49 603 ;-21 ;;;;;
桜区      ;Sakura-ku;43 398 ;96 731 ;49 937 ;46 794 ;-17 ;;;;;
浦和区    ;Urawa-ku;65 160 ;150 798 ;73 603 ;77 195 ;234 ;;;;;
南区      ;Minami-ku;76 919 ;178 142 ;90 290 ;87 852 ;50 ;;;;;
緑区      ;Midori-ku;43 780 ;115 340 ;57 010 ;58 330 ;146 ;;;;;
岩槻区    ;Iwatsuki-ku;43 127 ;109 788 ;55 187 ;54 601 ;-48 ;;;;;
川越市    ;Kawagoe-shi;144 027 ;349 537 ;174 670 ;174 867 ;27 ;;;;;
熊谷市    ;Kumagaya-shi;76 684 ;199 656 ;99 417 ;100 239 ;-637 ;;;;;
川口市    ;Kawaguchi-shi;240 688 ;570 497 ;290 007 ;280 490 ;461 ;;;;;
行田市    ;Gyoda-shi;31 054 ;82 952 ;41 075 ;41 877 ;-88 ;;;;;
秩父市    ;Chichibu-shi;24 031 ;64 072 ;31 088 ;32 984 ;-25 ;;;;;
所沢市    ;Tokorozawa-shi;144 830 ;342 164 ;170 133 ;172 031 ;-34 ;;;;;
飯能市    ;Hanno-shi;31 512 ;81 616 ;40 766 ;40 850 ;-17 ;;;;;
加須市    ;Kazo-shi;40 877 ;112 631 ;56 015 ;56 616 ;-35 ;;;;;
本庄市    ;Honjo-shi;32 350 ;79 841 ;39 740 ;40 101 ;-29 ;;;;;
東松山市  ;Higashimatsuyama-shi;36 159 ;89 908 ;45 527 ;44 381 ;49 ;;;;;
春日部市  ;Kasukabe-shi;93 884 ;234 489 ;116 137 ;118 352 ;-79 ;;;;;
狭山市    ;Sayama-shi;61 529 ;152 916 ;76 909 ;76 007 ;73 ;;;;;
羽生市    ;Hanyu-shi;20 001 ;55 075 ;27 415 ;27 660 ;-41 ;;;;;
鴻巣市    ;Kounosu-shi;44 355 ;118 117 ;58 184 ;59 933 ;30 ;;;;;
深谷市    ;Fukaya-shi;52 243 ;142 635 ;70 995 ;71 640 ;31 ;;;;;
上尾市    ;Ageo-shi;90 442 ;225 099 ;111 750 ;113 349 ;86 ;;;;;
草加市    ;Soka-shi;104 804 ;246 004 ;125 082 ;120 922 ;140 ;;;;;
