;市 町 村 別 人 口 と 世 帯;;;;;;;;
;;;;;;;　平成26年8月1日現在　　;;
;区分;世帯数;人口;;;"前月からの
人口増減";;"人口
密度
(１ｋ㎡
当たり)";"1世帯
当たり
人員"
;;;総数;男;女;増減数;"増減率
（％）";;
;県計;2 600 225 ;6 196 701 ;3 083 159 ;3 113 542 ;967 ;0,02 ;1 201,7 ;2,4 
;千葉市;420 286 ;965 480 ;480 898 ;484 582 ;216 ;0,02 ;3 548,5 ;2,3 
;中央区;97 399 ;202 905 ;102 495 ;100 410 ;125 ;0,06 ;4 528,1 ;2,1 
;花見川区;77 778 ;179 055 ;88 836 ;90 219 ;12 ;0,01 ;5 229,4 ;2,3 
;稲毛区;69 960 ;156 973 ;78 385 ;78 588 ;-8 ;-0,01 ;7 387,0 ;2,2 
;若葉区;63 556 ;150 989 ;76 131 ;74 858 ;64 ;0,04 ;1 793,0 ;2,4 
;緑区;47 637 ;126 489 ;62 303 ;64 186 ;77 ;0,06 ;1 904,7 ;2,7 
;美浜区;63 956 ;149 069 ;72 748 ;76 321 ;-54 ;-0,04 ;7 044,8 ;2,3 
;銚子市;26 469 ;65 527 ;31 569 ;33 958 ;-90 ;-0,14 ;780,9 ;2,5 
;市川市;223 932 ;471 873 ;236 886 ;234 987 ;214 ;0,05 ;8 220,8 ;2,1 
;船橋市;272 343 ;618 879 ;310 646 ;308 233 ;626 ;0,10 ;7 226,5 ;2,3 
;館山市;20 317 ;47 601 ;22 713 ;24 888 ;30 ;0,06 ;431,9 ;2,3 
;木更津市;52 968 ;131 825 ;66 418 ;65 407 ;108 ;0,08 ;950,2 ;2,5 
;松戸市;213 082 ;481 209 ;238 238 ;242 971 ;15 ;0,00 ;7 846,2 ;2,3 
;野田市;60 684 ;154 467 ;77 392 ;77 075 ;20 ;0,01 ;1 491,9 ;2,5 
;茂原市;36 370 ;90 324 ;44 513 ;45 811 ;-3 ;0,00 ;903,1 ;2,5 
;成田市;55 444 ;130 726 ;65 712 ;65 014 ;-152 ;-0,12 ;611,3 ;2,4 
;佐倉市;68 002 ;171 868 ;84 093 ;87 775 ;20 ;0,01 ;1 659,1 ;2,5 
;東金市;25 389 ;61 051 ;30 509 ;30 542 ;14 ;0,02 ;683,4 ;2,4 
;旭市;23 884 ;67 362 ;32 994 ;34 368 ;61 ;0,09 ;518,5 ;2,8 
;習志野市;73 534 ;167 677 ;84 719 ;82 958 ;25 ;0,01 ;7 988,4 ;2,3 
;柏市;170 140 ;407 762 ;202 160 ;205 602 ;202 ;0,05 ;3 548,8 ;2,4 
;勝浦市;9 035 ;19 386 ;9 903 ;9 483 ;-41 ;-0,21 ;205,8 ;2,1 
;市原市;115 522 ;276 587 ;141 437 ;135 150 ;36 ;0,01 ;751,2 ;2,4 
;流山市;69 845 ;171 253 ;85 095 ;86 158 ;177 ;0,10 ;4 854,1 ;2,5 
;八千代市;76 383 ;190 574 ;93 843 ;96 731 ;40 ;0,02 ;3 717,1 ;2,5 
;我孫子市;54 377 ;131 460 ;64 276 ;67 184 ;17 ;0,01 ;3 043,8 ;2,4 
;鴨川市;14 697 ;34 345 ;16 218 ;18 127 ;-6 ;-0,02 ;179,5 ;2,3 
;鎌ケ谷市;44 044 ;108 682 ;53 436 ;55 246 ;-61 ;-0,06 ;5 148,4 ;2,5 
;君津市;35 182 ;86 963 ;44 357 ;42 606 ;-15 ;-0,02 ;272,8 ;2,5 
;富津市;17 913 ;46 139 ;23 290 ;22 849 ;-10 ;-0,02 ;224,7 ;2,6 
;浦安市;72 682 ;163 114 ;80 687 ;82 427 ;-87 ;-0,05 ;9 434,0 ;2,2 
;四街道市;34 850 ;89 068 ;44 165 ;44 903 ;21 ;0,02 ;2 566,8 ;2,6 
;袖ケ浦市;22 816 ;60 913 ;30 805 ;30 108 ;28 ;0,05 ;641,7 ;2,7 
;八街市;26 444 ;70 688 ;35 518 ;35 170 ;-20 ;-0,03 ;944,1 ;2,7 
;印西市;32 470 ;91 687 ;45 337 ;46 350 ;5 ;0,01 ;740,6 ;2,8 
;白井市;22 615 ;61 523 ;30 556 ;30 967 ;15 ;0,02 ;1 737,4 ;2,7 
;富里市;20 248 ;49 961 ;25 300 ;24 661 ;2 ;0,00 ;926,7 ;2,5 
