（2シートに分けて掲載しています）;;;;;;;;;;;;;;;;;
市区町村別推計人口;;;;;;;;;;;;;;;;;
（注）推計の基礎を平成22年国勢調査確定値とし、これに毎月の住民基本台帳等の増減数を加えて算出したものです。;;;;;;;;;;;;;;;;;
　　　その他の増：職権記載、転出取消、国籍取得等；その他の減：職権消除、国籍喪失等;;;;;;;;;;;;;;;;;
単位：人;;;;;;;;;;;;;;;;;
男女;コード;地域;広域エリア;郡;市区町村等;平成26年 6月 1日現在人口;6月総増減;;;;;;;;;平成26年 7月 1日現在人口;
;;;;;;（前月）;;自然増減;;;社会増減;;;;;;
;;;;;;;;;+)出生;-)死亡;;+)転入;-)転出;+)その他の増;-)その他の減;;
総数;23000;;;;愛知県;7 439 876;1 251;635;5 264;4 629;616;24 631;23 577;536;974;7 441 127;
総数;23100;尾張地域;;;名古屋市;2 275 171;257;51;1 579;1 528;206;10 387;9 991;191;381;2 275 428;
総数;23101;;名古屋エリア;;千種区;163 378;81;20;116;96;61;865;785;8;27;163 459;
総数;23102;;名古屋エリア;;東区;75 399;33;7;54;47;26;510;475;7;16;75 432;
総数;23103;;名古屋エリア;;北区;163 276;△ 13;△ 14;102;116;1;650;642;11;18;163 263;
総数;23104;;名古屋エリア;;西区;146 072;139;19;107;88;120;707;582;10;15;146 211;
総数;23105;;名古屋エリア;;中村区;135 861;51;△ 35;88;123;86;783;686;5;16;135 912;
総数;23106;;名古屋エリア;;中区;81 677;26;△ 9;53;62;35;844;760;20;69;81 703;
総数;23107;;名古屋エリア;;昭和区;105 537;△ 29;25;83;58;△ 54;503;549;19;27;105 508;
総数;23108;;名古屋エリア;;瑞穂区;104 953;△ 25;18;87;69;△ 43;407;449;3;4;104 928;
総数;23109;;名古屋エリア;;熱田区;65 265;△ 75;△ 32;30;62;△ 43;311;349;4;9;65 190;
総数;23110;;名古屋エリア;;中川区;220 132;△ 30;29;179;150;△ 59;813;850;14;36;220 102;
総数;23111;;名古屋エリア;;港区;145 010;△ 68;△ 46;78;124;△ 22;528;516;10;44;144 942;
総数;23112;;名古屋エリア;;南区;137 422;△ 61;△ 49;81;130;△ 12;524;527;15;24;137 361;
総数;23113;;名古屋エリア;;守山区;171 247;△ 62;11;127;116;△ 73;581;650;10;14;171 185;
総数;23114;;名古屋エリア;;緑区;237 490;151;68;193;125;83;783;703;23;20;237 641;
