滋 賀 県 の 人 口 と 世 帯 数;;;;（平成  26年  7月 1日現在）;;;;;;;
;;;;;;;;;滋賀県総合政策部統計課;;
;人　　　　　　　　　　口;;;;;;前月人口との増減;;;世帯数;前月世
市 町 名;;;;うち外国人;;;;;;;帯数と
;総数;男;女;総数;男;女;総数;男;女;;の増減
総数;1 416 207 ;699 070 ;717 137 ;19 875 ;10 020 ;9 855 ;-261 ;-205 ;-56 ;555 242 ;-198 
;;;;;;;;;;;
市部;1 338 885 ;660 848 ;678 037 ;18 907 ;9 512 ;9 395 ;-202 ;-173 ;-29 ;527 605 ;-202 
;;;;;;;;;;;
郡部;77 322 ;38 222 ;39 100 ;968 ;508 ;460 ;-59 ;-32 ;-27 ;27 637 ;4 
;;;;;;;;;;;
大津市;341 763 ;165 072 ;176 691 ;3 447 ;1 677 ;1 770 ;-321 ;-231 ;-90 ;142 325 ;-313 
彦根市;113 065 ;55 680 ;57 385 ;1 605 ;738 ;867 ;10 ;-26 ;36 ;46 594 ;-5 
長浜市;120 771 ;59 304 ;61 467 ;2 256 ;1 080 ;1 176 ;0 ;20 ;-20 ;44 608 ;40 
近江八幡市;82 363 ;40 417 ;41 946 ;1 206 ;605 ;601 ;8 ;13 ;-5 ;31 087 ;30 
草津市;136 922 ;70 715 ;66 207 ;1 866 ;1 005 ;861 ;96 ;28 ;68 ;62 899 ;57 
守山市;79 341 ;38 954 ;40 387 ;612 ;283 ;329 ;37 ;47 ;-10 ;28 899 ;1 
栗東市;65 904 ;32 720 ;33 184 ;806 ;408 ;398 ;29 ;10 ;19 ;24 522 ;2 
甲賀市;91 063 ;45 460 ;45 603 ;2 194 ;1 266 ;928 ;-5 ;12 ;-17 ;32 542 ;-18 
野洲市;50 123 ;24 722 ;25 401 ;412 ;185 ;227 ;11 ;11 ;0 ;18 476 ;8 
湖南市;54 154 ;27 977 ;26 177 ;1 809 ;963 ;846 ;-16 ;-11 ;-5 ;21 785 ;-7 
高島市;50 475 ;24 625 ;25 850 ;454 ;185 ;269 ;-51 ;-48 ;-3 ;19 702 ;-37 
東近江市;113 978 ;56 275 ;57 703 ;1 890 ;968 ;922 ;34 ;21 ;13 ;40 632 ;32 
米原市;38 963 ;18 927 ;20 036 ;350 ;149 ;201 ;-34 ;-19 ;-15 ;13 534 ;8 
;;;;;;;;;;;
蒲生郡;34 387 ;17 374 ;17 013 ;400 ;219 ;181 ;-21 ;-5 ;-16 ;12 619 ;5 
日野町;22 031 ;10 926 ;11 105 ;324 ;169 ;155 ;-10 ;-2 ;-8 ;8 265 ;10 
竜王町;12 356 ;6 448 ;5 908 ;76 ;50 ;26 ;-11 ;-3 ;-8 ;4 354 ;-5 
;;;;;;;;;;;
愛知郡;20 740 ;10 266 ;10 474 ;415 ;221 ;194 ;-15 ;-9 ;-6 ;7 254 ;-2 
愛荘町;20 740 ;10 266 ;10 474 ;415 ;221 ;194 ;-15 ;-9 ;-6 ;7 254 ;-2 
;;;;;;;;;;;
犬上郡;22 195 ;10 582 ;11 613 ;153 ;68 ;85 ;-23 ;-18 ;-5 ;7 764 ;1 
豊郷町;7 535 ;3 618 ;3 917 ;96 ;51 ;45 ;3 ;2 ;1 ;3 033 ;4 
甲良町;7 143 ;3 396 ;3 747 ;37 ;12 ;25 ;-12 ;-8 ;-4 ;2 267 ;-2 
多賀町;7 517 ;3 568 ;3 949 ;20 ;5 ;15 ;-14 ;-12 ;-2 ;2 464 ;-1 
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
＊滋賀県推計人口は直近の国勢調査（平成22年）人口（住民登録または外国人登録の有無にかかわらず、調査時に調査地域に;;;;;;;;;;;
常住している者）に住民登録の移動数を合算しているためマイナス表示となる場合があります。;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
