第２表　市区町別推計人口・世帯数及び人口動態;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;（単位:人，世帯）;;;;;
;推計人口・世帯数(平成26年７月１日現在);;;;;人　口　動　態　（　平　成　26　年　６　月　）;;;;;;;;;
市区町;推　計　人　口;;;世 帯 数;"人　口
増減数";社　会　動　態;;;自　然　動　態;;;;;;
;総　数;男;女;;;転　入;転　出;増　減;出　生;死　亡;増　減;;;;
;;;;;;;;;;;;;;;
広島県　　;2 834 241;1 367 333;1 466 908;1 233 060;△ 181;7 497;7 473;24;1 938;2 143;△ 205;;;;
;;;;;;;;;;;;;;;
市部　　;2 658 122;1 282 187;1 375 935;1 159 230;△ 156;7 014;6 985;29;1 823;2 008;△185;;;;
郡部　　;176 119;85 146;90 973;73 830;△ 25;483;488;△ 5;115;135;△ 20;;;　;
;;;;;;;;;;;;;;;
広島市　　;1 185 097;570 411;614 686;537 966;312;4 100;3 951;149;854;691;163;;　;;
;;;;;;;;;;;;;;;
中区;132 262;61 569;70 693;77 445;179;763;600;163;97;81;16;;;; 
東区　　;120 071;57 138;62 933;52 421;△ 44;396;428;△ 32;70;82;△ 12;;; ;
南区;141 062;68 630;72 432;69 505;106;570;479;91;111;96;15;;;;
西区　　;188 844;90 609;98 235;91 512;△ 142;633;805;△ 172;140;110;30;;;;
安佐南区　　;241 251;117 777;123 474;100 518;152;713;681;32;208;88;120;;;;
安佐北区　　;146 328;69 469;76 859;58 831;△ 40;333;363;△ 30;78;88;△ 10;;;;
安芸区　　;79 364;39 337;40 027;31 892;0;247;246;1;51;52;△ 1;;;;
佐伯区　　;135 915;65 882;70 033;55 842;101;445;349;96;99;94;5;;;;
;;;;;;;;;;;;;;;
呉市　　;230 006;110 485;119 521;98 960;△ 232;350;469;△ 119;133;246;△ 113;;;;
竹原市　　;27 018;12 826;14 192;11 359;△ 38;48;77;△ 29;14;23;△ 9;;;;
三原市　　;97 068;46 096;50 972;41 272;△ 6;156;145;11;70;87;△ 17;;;;
尾道市　　;139 333;66 426;72 907;59 793;△ 87;259;264;△ 5;71;153;△ 82;;;;
福山市　　;461 417;222 810;238 607;190 093;△ 96;801;902;△ 101;353;348;5;;;;
府中市　　;40 285;19 283;21 002;15 301;△ 43;67;94;△ 27;24;40;△ 16;;;;
三次市　　;53 958;25 495;28 463;21 857;△ 50;81;92;△ 11;27;66;△ 39;;;;
庄原市　　;37 735;17 940;19 795;15 137;△ 13;67;49;18;15;46;△ 31;;;;
大竹市　　;28 038;13 589;14 449;12 124;△ 20;58;65;△ 7;13;26;△ 13;;;;
東広島市　　;190 669;96 864;93 805;85 807;115;533;449;84;145;114;31;;;;
廿日市市;112 752;53 518;59 234;46 284;△ 25;250;258;△ 8;81;98;△ 17;;;;
安芸高田市;29 828;14 180;15 648;12 098;△ 34;68;79;△ 11;16;39;△ 23;;;;
江田島市;24 918;12 264;12 654;11 179;61;176;91;85;7;31;△ 24;;;;
;;;;;;;;;;;;;;;
安芸郡　　　　;116 246;56 667;59 579;48 694;39;339;331;8;92;61;31;;;;
府中町　　;50 837;24 795;26 042;21 202;51;182;151;31;39;19;20;;;;
海田町;28 376;14 028;14 348;12 493;△ 3;89;110;△ 21;36;18;18;;;;
熊野町　　;23 950;11 548;12 402;9 547;△ 5;43;43;0;10;15;△ 5;;;;
坂町;13 083;6 296;6 787;5 452;△ 4;25;27;△ 2;7;9;△ 2;;;;
;;;;;;;;;;;;;;;
山県郡　;25 843;12 308;13 535;10 829;△ 34;57;69;△ 12;12;34;△ 22;;;;
安芸太田町;6 534;3 013;3 521;2 855;△ 19;9;19;△ 10;2;11;△ 9;;;;
北広島町;19 309;9 295;10 014;7 974;△ 15;48;50;△ 2;10;23;△ 13;;;;
;;;;;;;;;;;;;;;　
豊田郡　;;;;;;;;;;;;;;;
大崎上島町;7 931;3 854;4 077;3 894;△ 16;16;21;△ 5;2;13;△ 11;;;;
;;;;;;;;;;;;;;;
世羅郡　;;;;;;;;;;;;;;;
世羅町;16 673;7 866;8 807;6 715;7;59;45;14;8;15;△ 7;;;;
;;;;;;;;;;;;;;;
神石郡;;;;;;;;;;;;;;;
神石高原町;9 426;4 451;4 975;3 698;△ 21;12;22;△ 10;1;12;△ 11;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
